,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_6_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_6_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q24_7_TEXT,Q25,Q26,Q26_15_TEXT,Q27_2,Q28,Q29,Q29_4_TEXT,Q30,Q31,Q32_16,Q33,Q33_8_TEXT,Q34,Q34_4_TEXT,Q35,Q36,Q36_5_TEXT,Q37,Q38,Q39,Q40,Q41,Q41_6_TEXT,Q42,Q42_1_TEXT
3,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,19,Hispanic or Latino,,Female,,No,Heterosexual/Straight,,No,No,No,No,"Significant anxiety or depression,A mental health condition",,No,
4,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,,Neither welcome nor excluded,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,contribution to the class,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,lacking trust from others,No,,,No,,,No,,,No,,,Undeclared major,No,I’m more passionate about a different subject,,,,,,,,,,,18,Native Hawaiian or Other Pacific Islander,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
5,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,"The courses are too hard,There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,Black or African American,,Female,,No,Homosexual: gay or lesbian,,Yes,No,No,No,Significant anxiety or depression,,"Yes (optionally, specify)",Kenyan
6,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,"The courses are too hard,There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,"Asian,Native Hawaiian or Other Pacific Islander",,Male,,Prefer not to answer,"I use a term not specified (optionally, specify)",Demisexual,No,No,No,Prefer not to answer,"Significant anxiety or depression,A mental health condition,ADHD,Other (optionally, specify)",,No,
7,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Mathematics,,,,Yes,My interests have changed,,2,No,"Mostly, but not totally",,I don't know,I would prefer more information about both,19,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,ADHD,,No,
8,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,Very included and welcome,Does not add to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,"Computer Science,Mathematics",,,,No,,,2,No,"Yes, almost entirely",,I feel I have good options in industry and academia,I would prefer more information about both,20,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
9,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,,Rarely,Rarely,,Rarely,Rarely,,No,,,No,,,A department outside the College of Science and Engineering,No,The courses are too hard,,,,,,,,,,,18,Asian,,Male,,No,"Bisexual,Homosexual: gay or lesbian",,No,No,No,No,None of the above,,No,
10,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Neither welcome nor excluded,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,Yes,"Did not like the subject of major, not what I expected,My interests have changed,Coursework too difficult,Lack of sense of belonging in major,Lack of social belonging in major ",,8,No,Only Somewhat,,I don't feel I have many options at all,I would prefer more information on job opportunities,22,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,"Significant anxiety or depression,ADHD",,No,
11,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,,,,,,,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,"Asian,Hispanic or Latino,White",,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,Prefer not to answer,
12,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,Asian,,Female,,No,Bisexual,,No,No,No,No,Significant anxiety or depression,,"Yes (optionally, specify)",
13,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Need more resources/options in class for students struggling with mental health issues and can’t make assignments,Somewhat excluded,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,2,No,Only Somewhat,,I don't know,I would prefer more information about both,20,White,,Female,,No,Prefer not to answer,,No,No,No,No,"Significant anxiety or depression,A mental health condition",,No,
14,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,,Somewhat excluded,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,,,,No,,,No,,,Sometimes,Sometimes,,No,,,Mathematics,,,,No,,,3,Yes,"Mostly, but not totally",,It's not something I have thought about,I would prefer more information on job opportunities,21,White,,Non-binary,,No,"I use a term not specified (optionally, specify)",Queer,No,No,No,No,"Significant anxiety or depression,ADHD,An information processing or learning disability",,No,
15,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,"Mathematics,A department outside the College of Science and Engineering",,,,No,,,10,No,"Mostly, but not totally",,I don't know,I would prefer more information on job opportunities,22,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,,,No,
16,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,Yes,My interests have changed,,5,No,"Yes, almost entirely",,I feel I have good options in industry and academia,I would prefer more information about both,20,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
17,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,no,"Do not belong, excluded",Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,,No,,,No,,,No,,,No,,,Undeclared major,No,The courses are too hard,,,,,,,,,,,18,"Asian,White",,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
18,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat excluded,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,,,Sometimes,Sometimes,"How on many occasions, male classmates would not take my contributions into account",No,,,No,,,No,,,Mathematics,,,,No,,,6,No,"Mostly, but not totally",,I don't feel I have many options at all,I would prefer more information about both,21,Asian,,Female,,No,Prefer not to answer,,No,No,No,"Significant financially insecurity, where money is a significant stress for me","Significant anxiety or depression,ADHD,An information processing or learning disability",,Prefer not to answer,
19,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,"Mathematics,A department outside the College of Science and Engineering",,,,No,,,13,No,"Mostly, but not totally",,I feel I only have options in academia,I would prefer more information on job opportunities,20,White,,Female,,No,"Asexual,Homosexual: gay or lesbian",,No,No,No,No,"Significant anxiety or depression,A mental health condition,ADHD,An information processing or learning disability",,No,
20,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me",None of the above,,No,
21,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,,Neither welcome nor excluded,Does not add to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,Rarely,Rarely,"It happens in every department, woman in stem are treated poorly here.",No,,,Rarely,Rarely,"Again, woman in all areas of the stem departments here at this University experience sexism from faculty and students. It’s a problem that has yet to be fixed by people overly qualified to understand the subject manner.",Computer Science,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,21,Native Hawaiian or Other Pacific Islander,,Male,,No,Bisexual,,No,No,No,"Significant financially insecurity, where money is a significant stress for me,Food insecurity or hunger","A mental health condition,ADHD",,,
22,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,"N/a, the math department on campus is very inclusive. However, I think it may make it better if there were study groups for upper level pre-req math classes like Multivariable Calculus, Linear Algebra or Differential Equations.",Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,,,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Electrical & Computer Engineering,I have considered only minoring in math,"I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,19,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,Prefer not to answer,Prefer not to answer,,Prefer not to answer,
23,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,"There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,"Hispanic or Latino,White",,Male,,No,Homosexual: gay or lesbian,,No,No,No,No,Significant anxiety or depression,,No,
24,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,Neither welcome nor excluded,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,,No,"Mostly, but not totally",,I don't feel I have many options at all,I would prefer more information about both,24,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me",None of the above,,,
25,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,My own understanding ,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,Not involved ,Sometimes,Sometimes,I was the only girl in a past wood shop class at another institution. ,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,Something not listed,"On track with business school, enjoy these courses more. ",,,,,,,,,,18,"Hispanic or Latino,Other (optionally, specify)",Greek,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
26,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,20,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
27,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Mechanical Engineering,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,21,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
28,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Undeclared major,No,I’m more passionate about a different subject,,,,,,,,,,,19,White,,Male,,No,Heterosexual/Straight,,Yes,No,No,No,None of the above,,No,
29,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,Rarely,Rarely,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,White,,Female,,No,Homosexual: gay or lesbian,,No,No,No,No,"Significant anxiety or depression,A mental health condition,ADHD,An information processing or learning disability",,,
30,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,"There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
31,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,"Mathematics,A department outside the College of Science and Engineering",,,,No,,,4,Yes,"Yes, almost entirely",,I feel I have good options in industry and academia,I would prefer more information about both,21,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,Prefer not to answer,
32,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,Yes,"I haven’t thought enough about it, or I am undecided overall,I’m more passionate about a different subject",,,,,,,,,,,18,White,,Non-binary,,Yes,"I use a term not specified (optionally, specify)",queer,No,No,No,No,"Significant anxiety or depression,A mental health condition,ADHD,A chronic physical/medical condition,An information processing or learning disability",,No,
33,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,,No,,,No,,,No,,,No,,,Undeclared major,No,I’m more passionate about a different subject,,,,,,,,,,,18,Asian,,Male,,No,Heterosexual/Straight,,Yes,No,No,No,None of the above,,,
34,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,"There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,White,,Non-binary,,No,"I use a term not specified (optionally, specify)",Queer,No,No,No,No,"Significant anxiety or depression,A mental health condition",,No,
