,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_6_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_6_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q24_7_TEXT,Q25,Q26,Q26_15_TEXT,Q27_2,Q28,Q29,Q29_4_TEXT,Q30,Q31,Q32_16,Q33,Q33_8_TEXT,Q34,Q34_4_TEXT,Q35,Q36,Q36_5_TEXT,Q37,Q38,Q39,Q40,Q41,Q41_6_TEXT,Q42,Q42_1_TEXT
35,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,,Rarely,Rarely,There are some rare occasions when I feel excluded from group activity or that my contributions aren't acknowledged.,No,,,No,,,No,,,Chemistry,No,"I’m more passionate about a different subject,I have a greater sense of community in my major department",,,,,,,,,,,19,Black or African American,,Female,,No,Bisexual,,Yes,No,No,No,None of the above,,No,
36,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,Somewhat welcome,Does not add to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,"The courses are too hard,There are more job opportunities in other majors",,,,,,,,,,,21,White,,Female,,No,Heterosexual/Straight,,No,No,No,No,Significant anxiety or depression,,No,
37,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,3,No,"Yes, almost entirely",,I feel I have good options in industry and academia,I would prefer more information on job opportunities,21,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
38,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,Native Hawaiian or Other Pacific Islander,,Female,,No,Bisexual,,Yes,No,No,No,None of the above,,Prefer not to answer,
39,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,0,No,"Yes, almost entirely",,I don't know,I would prefer more information about both,18,White,,Female,,No,Bisexual,,No,No,No,No,"Significant anxiety or depression,A mental health condition",,No,
40,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,2,No,"Yes, almost entirely",,I feel I have good options in industry and academia,Yes,27,"Asian,White",,Male,,No,Heterosexual/Straight,,No,Yes,No,No,A mental health condition,,No,
41,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,18,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
42,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,Sometimes,Sometimes,Someone struggling to advocate for themselves or somebody who over-advocates may be written off ,No,,,Sometimes,Sometimes,,Civil & Environmental Engineering,No,"There are more job opportunities in other majors,I’m not sure what math majors do after graduation,I’m more passionate about a different subject",,,,,,,,,,,18,White,,Female,,No,Bisexual,,No,No,No,No,"Significant anxiety or depression,A mental health condition",,No,
43,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,Yes,Something not listed,"I was hoping to dual degree and my advisor told me this wasn't possible, which I later found out wasn't true, so its too late for me to dual degree within four years",,,,,,,,,,21,White,,Female,,No,Heterosexual/Straight,,No,No,No,No,Significant anxiety or depression,,No,
44,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,"I haven’t thought enough about it, or I am undecided overall,I’m more passionate about a different subject",,,,,,,,,,,19,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,Prefer not to answer,Prefer not to answer,,Prefer not to answer,
45,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,,,Sometimes,Sometimes,Some of the masculine-presenting students either ignore me or seem like they do not value my contributions. ,No,,,No,,,No,,,Physics,No,"I haven’t thought enough about it, or I am undecided overall,I’m not sure what math majors do after graduation",,,,,,,,,,,19,White,,Non-binary,,Prefer not to answer,"I use a term not specified (optionally, specify)",queer,No,No,No,No,A chronic physical/medical condition,,No,
46,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Undeclared major,No,The courses are too hard,,,,,,,,,,,17,Hispanic or Latino,,Female,,No,Bisexual,,No,Yes,No,No,Significant anxiety or depression,,No,
47,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Undeclared major,No,I’m more passionate about a different subject,,,,,,,,,,,18,"American Indian or Alaska Native,Hispanic or Latino,White",,Female,,No,Bisexual,,No,No,No,No,Significant anxiety or depression,,Prefer not to answer,
48,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Electrical & Computer Engineering,I have considered only minoring in math,"I haven’t thought enough about it, or I am undecided overall",,,,,,,,,,,,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,A chronic physical/medical condition,,No,
49,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,21,White,,Non-binary,,No,Prefer not to answer,,No,No,No,No,,,No,
50,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,,"Hispanic or Latino,White",,Female,,No,Prefer not to answer,,Yes,No,No,No,"Significant anxiety or depression,A mental health condition",,No,
51,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,6,No,"Yes, almost entirely",,I feel I have good options in industry and academia,Yes,18,White,,Male,,Yes,Bisexual,,No,No,No,No,"Significant anxiety or depression,ADHD",,No,
52,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,"There are more job opportunities in other majors,I’m more passionate about a different subject",,,,,,,,,,,19,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
53,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Chemistry,I have considered only minoring in math,"The courses are too hard,I’m more passionate about a different subject",,,,,,,,,,,19,White,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
54,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Neither welcome nor excluded,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,I’m more passionate about a different subject,,,,,,,,,,,19,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me","Significant anxiety or depression,A mental health condition",,,
55,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,My teacher ,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,,,,,,,No,,,,,,Mathematics,,,,No,,,0,No,"Mostly, but not totally",,I feel I only have options in industry,Yes,18,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me",None of the above,,No,
56,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Biology,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,21,White,,Non-binary,,No,Bisexual,,No,No,No,No,"Significant anxiety or depression,A mental health condition,ADHD",,No,
57,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,Yes,I’m more passionate about a different subject,,,,,,,,,,,20,"Hispanic or Latino,Middle Eastern,White",,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
58,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Neither welcome nor excluded,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Somewhat adds to me feeling excluded,,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,I have considered only minoring in math,"There are more job opportunities in other majors,I’m not sure what math majors do after graduation",,,,,,,,,,,18,Asian,,Female,,No,Bisexual,,No,No,No,No,None of the above,,No,
59,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Civil & Environmental Engineering,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,18,"Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,White",,Non-binary,,Yes,Homosexual: gay or lesbian,,No,No,No,"Significant financially insecurity, where money is a significant stress for me","Significant anxiety or depression,A mental health condition",,Prefer not to answer,
60,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,,,,No,,,Undeclared major,Yes,"I haven’t thought enough about it, or I am undecided overall",,,,,,,,,,,18,Asian,,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
61,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Does not add to my feeling included,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,No,,,No,,,No,,,No,,,Electrical & Computer Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,19,Asian,,Male,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
62,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Neither welcome nor excluded,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,,,,,,,,,,No,,,No,,,No,,,No,,,Computer Science,No,I’m more passionate about a different subject,,,,,,,,,,,18,"Asian,White",,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
63,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Teacher cares to much about precision and how an equation is written and not if the answer is correct. Students aren't competitive or collaborative at all.,Somewhat welcome,Does not add to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds a lot to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Computer Science,No,I’m more passionate about a different subject,,,,,,,,,,,18,Middle Eastern,,Male,,No,Heterosexual/Straight,,Yes,No,No,No,None of the above,,No,
64,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,,,No,,,No,,,No,,,Computer Science,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,,White,,Male,,No,Heterosexual/Straight,,No,No,No,"Significant financially insecurity, where money is a significant stress for me",Prefer not to answer,,No,
65,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mathematics,,,,No,,,5,No,"Mostly, but not totally",,I don't know,I would prefer more information on job opportunities,,White,,Male,,No,Heterosexual/Straight,,No,Prefer not to answer,No,No,None of the above,,Prefer not to answer,
66,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Somewhat adds to me feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Chemistry,I have considered only minoring in math,I’m more passionate about a different subject,,,,,,,,,,,18,White,,Female,,No,Prefer not to answer,,No,No,No,No,None of the above,,No,
67,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,Somewhat welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Somewhat adds to me feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,Mechanical Engineering,I have considered only minoring in math,There are more job opportunities in other majors,,,,,,,,,,,,"Asian,Native Hawaiian or Other Pacific Islander,Hispanic or Latino,White",,Female,,No,Heterosexual/Straight,,No,No,No,No,None of the above,,No,
68,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,,Very included and welcome,Adds a lot to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,Adds a lot to my feeling included,Adds somewhat to my feeling included,,,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,Adds a lot to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,"Black or African American,Prefer not to answer",,Female,,No,"I use a term not specified (optionally, specify)",,No,No,No,"Significant financially insecurity, where money is a significant stress for me,Housing insecurity or homelessness,Food insecurity or hunger","Significant anxiety or depression,A mental health condition,ADHD,An information processing or learning disability",,Prefer not to answer,
69,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,,Somewhat welcome,Adds somewhat to my feeling included,Does not add to my feeling included,Does not add to my feeling included,Adds somewhat to my feeling included,Adds somewhat to my feeling included,,,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,Does not add to my feeling excluded,,,No,,,No,,,No,,,No,,,A department outside the College of Science and Engineering,No,I’m more passionate about a different subject,,,,,,,,,,,18,White,,Female,,No,Prefer not to answer,,No,No,No,No,None of the above,,No,
